Guruh,Sinf,Pozitsiya,Subpozitsiya
001 - ТИРИК ҲАЙВОНЛАР,"00101 - Тирик отлар, эшаклар",00101001 - Тирик отлар ва эшаклар,00101001001 - Тирик отлар
001 - ТИРИК ҲАЙВОНЛАР,"00101 - Тирик отлар, эшаклар",00101001 - Тирик отлар ва эшаклар,00101001003 - Тирик отлар (сўйиш вазнида)
001 - ТИРИК ҲАЙВОНЛАР,"00101 - Тирик отлар, эшаклар",00101001 - Тирик отлар ва эшаклар,00101001007 - Тирик эшаклар
001 - ТИРИК ҲАЙВОНЛАР,00102 - Йирик шохли тирик уй қорамоллари,00102001 - Тирик йирик шохли уй қорамоллари,00102001001 - Тирик буқалар
001 - ТИРИК ҲАЙВОНЛАР,00102 - Йирик шохли тирик уй қорамоллари,00102001 - Тирик йирик шохли уй қорамоллари,00102001002 - Тирик сигирлар
001 - ТИРИК ҲАЙВОНЛАР,00102 - Йирик шохли тирик уй қорамоллари,00102001 - Тирик йирик шохли уй қорамоллари,00102001003 - Бузоқлар
001 - ТИРИК ҲАЙВОНЛАР,00102 - Йирик шохли тирик уй қорамоллари,00102001 - Тирик йирик шохли уй қорамоллари,"00102001004 - Тирик буқалар, сигирлар ва бузоқлар (сўйиш вазнида)"
001 - ТИРИК ҲАЙВОНЛАР,00103 - Тирик чўчқалар,00103001 - Тирик чўчқалар,00103001001 - Тирик чўчқалар
001 - ТИРИК ҲАЙВОНЛАР,00103 - Тирик чўчқалар,00103001 - Тирик чўчқалар,00103001003 - Тирик чўчқалар (сўйиш вазнида)
001 - ТИРИК ҲАЙВОНЛАР,00104 - Тирик қўйлар ва эчкилар,00104001 - Тирик қўйлар ва эчкилар ,00104001001 - Тирик қўйлар
001 - ТИРИК ҲАЙВОНЛАР,00104 - Тирик қўйлар ва эчкилар,00104001 - Тирик қўйлар ва эчкилар ,00104001003 - Тирик эчкилар
001 - ТИРИК ҲАЙВОНЛАР,00104 - Тирик қўйлар ва эчкилар,00104001 - Тирик қўйлар ва эчкилар ,00104001005 - Тирик қўйлар ва эчкилар (сўйиш вазнида)
001 - ТИРИК ҲАЙВОНЛАР,"00105 - Тирик паррандалар (уй товуқлари, ўрдаклар, ғозлар ва куркалар)","00105001 - Товуқлар, хўрозлар ва жўжалар",00105001001 - Товуқлар
001 - ТИРИК ҲАЙВОНЛАР,"00105 - Тирик паррандалар (уй товуқлари, ўрдаклар, ғозлар ва куркалар)","00105001 - Товуқлар, хўрозлар ва жўжалар",00105001002 - Хўрозлар
001 - ТИРИК ҲАЙВОНЛАР,"00105 - Тирик паррандалар (уй товуқлари, ўрдаклар, ғозлар ва куркалар)","00105001 - Товуқлар, хўрозлар ва жўжалар",00105001003 - Товуқ жўжалар
001 - ТИРИК ҲАЙВОНЛАР,"00105 - Тирик паррандалар (уй товуқлари, ўрдаклар, ғозлар ва куркалар)",00105002 - Курка,00105002001 - Куркалар
001 - ТИРИК ҲАЙВОНЛАР,"00105 - Тирик паррандалар (уй товуқлари, ўрдаклар, ғозлар ва куркалар)",00105003 - Ғозлар,00105003001 - Ғозлар
001 - ТИРИК ҲАЙВОНЛАР,"00105 - Тирик паррандалар (уй товуқлари, ўрдаклар, ғозлар ва куркалар)",00105004 - Ўрдаклар,00105004001 - Ўрдаклар
001 - ТИРИК ҲАЙВОНЛАР,00199 - Бошқа тирик ҳайвонлар,00199001 - Ҳашоратлар,00199001001 - Олтинкўз
001 - ТИРИК ҲАЙВОНЛАР,00199 - Бошқа тирик ҳайвонлар,00199001 - Ҳашоратлар,00199001002 - Габробракон
001 - ТИРИК ҲАЙВОНЛАР,00199 - Бошқа тирик ҳайвонлар,00199001 - Ҳашоратлар,00199001003 - Трихограмма
001 - ТИРИК ҲАЙВОНЛАР,00199 - Бошқа тирик ҳайвонлар,00199001 - Ҳашоратлар,00199001004 - Зулук
001 - ТИРИК ҲАЙВОНЛАР,00199 - Бошқа тирик ҳайвонлар,00199001 - Ҳашоратлар,00199001007 - Чувалчанг
